28/02/2025 14:21:37: 1, Low
28/02/2025 14:21:39: 0, Low
28/02/2025 14:21:40: 0, Low
28/02/2025 14:21:41: 0, Low
28/02/2025 14:21:42: 1, Low
28/02/2025 14:21:43: 0, Low
28/02/2025 14:21:44: 0, Low
28/02/2025 14:21:45: 1, Low
28/02/2025 14:21:46: 0, Low
28/02/2025 14:21:47: 0, Low
28/02/2025 14:21:48: 0, Low
28/02/2025 14:21:49: 0, Low
28/02/2025 14:22:05: 1, Low
28/02/2025 14:22:06: 0, Low
28/02/2025 14:22:07: 0, Low
28/02/2025 14:22:08: 1, Low
28/02/2025 14:22:10: 5149, Low
28/02/2025 14:22:11: 8569, Low
28/02/2025 14:22:12: 21294, Medium
28/02/2025 14:22:13: 23103, Medium
28/02/2025 14:22:14: 10589, Medium
28/02/2025 14:22:15: 20440, Medium
28/02/2025 14:22:16: 30593,  High
28/02/2025 14:22:17: 30578,  High
28/02/2025 14:22:18: 30618,  High
28/02/2025 14:22:19: 30598,  High
28/02/2025 14:22:21: 30578,  High
28/02/2025 14:22:22: 3822, Low
28/02/2025 14:22:23: 9, Low
28/02/2025 14:22:24: 17445, Medium
28/02/2025 14:22:25: 18320, Medium
28/02/2025 14:22:26: 12304, Medium
28/02/2025 14:22:27: 21148, Medium
28/02/2025 14:22:28: 22034, Medium
28/02/2025 14:22:29: 25847,  High
28/02/2025 14:22:30: 29471,  High
28/02/2025 14:22:31: 28888,  High
28/02/2025 14:22:33: 30578,  High
28/02/2025 14:22:34: 27996,  High
28/02/2025 14:22:35: 7347, Low
28/02/2025 14:22:36: 9554, Low
28/02/2025 14:22:37: 22551, Medium
28/02/2025 14:22:38: 21528, Medium
28/02/2025 14:22:39: 18263, Medium
28/02/2025 14:22:40: 18906, Medium
28/02/2025 14:22:41: 24962, Medium
28/02/2025 14:22:42: 27294,  High
28/02/2025 14:22:44: 26958,  High
28/02/2025 14:22:45: 30117,  High
28/02/2025 14:22:46: 30479,  High
28/02/2025 14:22:47: 1, Low
28/02/2025 14:23:08: 0, Low
28/02/2025 14:23:09: 0, Low
28/02/2025 14:23:10: 0, Low
28/02/2025 14:23:11: 0, Low
28/02/2025 14:23:12: 2668, Low
28/02/2025 14:23:13: 13043, Medium
28/02/2025 14:23:14: 0, Low
28/02/2025 14:23:15: 0, Low
28/02/2025 14:23:17: 0, Low
28/02/2025 14:23:18: 1, Low
28/02/2025 14:23:19: 0, Low
28/02/2025 14:23:20: 0, Low
28/02/2025 14:23:21: 1, Low
28/02/2025 14:23:22: 0, Low
28/02/2025 14:23:23: 0, Low
28/02/2025 14:23:24: 0, Low
28/02/2025 14:23:25: 0, Low
28/02/2025 14:23:26: 0, Low
28/02/2025 14:23:27: 1, Low
28/02/2025 14:23:28: 0, Low
28/02/2025 14:23:29: 0, Low
28/02/2025 14:23:30: 1, Low
28/02/2025 14:23:31: 1, Low
28/02/2025 14:23:32: 0, Low
28/02/2025 14:23:33: 0, Low
28/02/2025 14:23:35: 0, Low
28/02/2025 14:23:36: 0, Low
28/02/2025 14:23:37: 0, Low
28/02/2025 14:23:38: 0, Low
28/02/2025 14:23:39: 0, Low
28/02/2025 14:23:40: 1, Low
28/02/2025 14:23:41: 0, Low
28/02/2025 14:23:42: 0, Low
